Index	Start	End	Move	ClientAppName	ConnectionName	ClientInstance	ServerAppName	ServerInstance	ExtraData	RunId																
98	SPTM-IOS6	SPTM-IOS6	FIXPLUSTI Sec ID update link FIXTI_SPTMIOSPLUS13→NULL NULL	FIXPLUSTI	Sec ID update link	FIXTI_SPTMIOSPLUS13	NULL	NULL		1																
99	SPTM-IOS6	SPTMPNXDS	IOSPLUSTE ORH primary IOS_SPTXIOSPLUS4ASXTI→NULL NULL	IOSPLUSTE	ORH primary	IOS_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
100	SPTM-IOS6	172.17.126.70	IOSPLUSTE ORH secondary IOS_SPTXIOSPLUS4ASXTI→NULL NULL	IOSPLUSTE	ORH secondary	IOS_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
101	SPTM-IOS6	SPTM-IOS6	IOSPLUSTE APX IOS_SPTXIOSPLUS4ASXTI→NULL NULL	IOSPLUSTE	APX	IOS_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
102	SPTM-IOS6	SPTM-IOS6	IOSPLUSTE ASX IOS_SPTXIOSPLUS4ASXTI→ASXTI ASX_SPTXIOSPLUS4ASXTI	IOSPLUSTE	ASX	IOS_SPTXIOSPLUS4ASXTI	ASXTI	ASX_SPTXIOSPLUS4ASXTI		1																
103	SPTM-IOS6	SPTM-IOS6	IOSPLUSTE BMX_GRAN IOS_SPTXIOSPLUS4ASXTI→NULL NULL	IOSPLUSTE	BMX_GRAN	IOS_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
104	SPTM-IOS6	SPTM-IOS6	IOSPLUSTE CXA IOS_SPTXIOSPLUS4ASXTI→CXATI CXA_SPTXIOSPLUS4ASXTI	IOSPLUSTE	CXA	IOS_SPTXIOSPLUS4ASXTI	CXATI	CXA_SPTXIOSPLUS4ASXTI		1																
105	SPTM-IOS6	SPTM-IOS6	IOSPLUSTE SGX_READY IOS_SPTXIOSPLUS4ASXTI→NULL NULL	IOSPLUSTE	SGX_READY	IOS_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
106	SPTM-IOS6	SPTM-IOS6	IOSPLUSTE TradeTI IOS_SPTXIOSPLUS4ASXTI→NULL NULL	IOSPLUSTE	TradeTI	IOS_SPTXIOSPLUS4ASXTI	NULL	NULL		1																
107	SPTM-IOS6	10.252.250.17	ASXTI OrderEntry | 0 ASX_SPTMIOSPLUS13→NULL NULL	ASXTI	OrderEntry | 0	ASX_SPTMIOSPLUS13	NULL	NULL		1																
108	SPTM-IOS6	10.252.250.17	ASXTI OrderEntry | 0_Backup ASX_SPTMIOSPLUS13→NULL NULL	ASXTI	OrderEntry | 0_Backup	ASX_SPTMIOSPLUS13	NULL	NULL		1																
109	SPTM-IOS6	SPTMPNXDS	ASXTI Sec ID update link ASX_SPTMIOSPLUS13→NULL NULL	ASXTI	Sec ID update link	ASX_SPTMIOSPLUS13	NULL	NULL		1																
110	SPTM-IOS6	SPTM-IOS6	FIXPLUSSRE TE->sptm-ios6:18000 FIXPLUS_13→FIXPLUSTE FIXPLUS_13	FIXPLUSSRE	TE->sptm-ios6:18000	FIXPLUS_13	FIXPLUSTE	FIXPLUS_13		1																
111	SPTM-IOS6	SPTMPNXDS	IOSPLUSTE ORH primary IOS_SPTMIOSPLUS13→NULL NULL	IOSPLUSTE	ORH primary	IOS_SPTMIOSPLUS13	NULL	NULL		1																
112	SPTM-IOS6	172.17.126.70	IOSPLUSTE ORH secondary IOS_SPTMIOSPLUS13→NULL NULL	IOSPLUSTE	ORH secondary	IOS_SPTMIOSPLUS13	NULL	NULL		1																
113	SPTM-IOS6	SPTM-IOS6	IOSPLUSTE ASIC IOS_SPTMIOSPLUS13→NULL NULL	IOSPLUSTE	ASIC	IOS_SPTMIOSPLUS13	NULL	NULL		1																
